Article No.,URL,Summary
23,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG1J90DWX2PU01,ヒラリー氏とフィッシュアンドチップスを楽しんだ日：ＩＲＣ委員長国際救済委員会（ＩＲＣ）のデービッド・ミリバンド委員長が、元米国務長官のヒラリー・クリントン氏を、自身の元選挙区である英サウスシールズにあるフィッシュアンドチップスの店に招いたエピソードを振り返る。ヒラリー氏は、ビネガーやタルタルソース、そしてグリーンピースのピューレ「マッシーピー」をつけてフィッシュアンドチップスを楽しんだという。聞き手はエマ・バーネット氏。インタビューは６月21日に収録した。動画リポート。 (Source: Bloomberg)
24,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG0MSADWX2PS01,レゴ創業家の富豪、魚の皮を使った傷治療の企業に投資アイスランドのベンチャー企業ケレシスは、慢性的な傷の治癒を早めるため魚の皮の脂肪酸を利用する治療法に取り組み、2016年に米食品医薬品局（ＦＤＡ）から承認を得ている。 (Source: Bloomberg)
25,https://www.bloomberg.co.jp/news/videos/2022-08-03/RG0LY0T0AFB701,グテレス国連事務総長、「核兵器による滅亡」を警告「今日、人類はたった一つの誤解、一つの誤算で、核兵器による滅亡を迎えます」。国連のグテレス事務総長は、ニューヨークの国連本部で開かれた核拡散防止条約（NPT）再検討会議の演説でこう警告した。 (Source: Bloomberg)
26,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZN7JT1UM0Y01,アートを通じて橋を架ける「人々の間に橋を架けることができます。これこそアートのあるべき姿です」。フランスから香港まで、また伝統的世界からメタバースまで、人々を結び付ける橋渡しをしたいと願うアートギャラリーが香港にある。動画リポート。 (Source: Bloomberg)
27,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZL2ZDWLU6901,有名人の二重生活には驚かない：アルレッド弁護士かねて女性の権利を訴えている弁護士のグロリア・アルレッド氏は、ハリウッドの有名男性と訴訟で対決することがしばしばあるが、名声や権力を持つ人たちに幻想を抱いていないので、彼らの悪事に失望するようなことはないと語った。聞き手はエマ・バーネット氏。インタビューは７月６日に収録した。動画リポート。 (Source: Bloomberg)
28,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZKXKDWRGG001,死刑は二度と描かない：法廷画家ジェーン・ローゼンバーグ氏法廷画家のジェーン・ローゼンバーグ氏は、かつて電気椅子による死刑が執行された男性の様子を描いた後、自らに責任の一端があると感じたと語る。同氏は、この経験の影響で死刑を取材するのはやめようと決めたという。国が認める殺人に関与したくないのがその理由だ。聞き手はエマ・バーネット氏。インタビューは４月13日に収録した。動画リポート。 (Source: Bloomberg)
29,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFZ0MVDWX2PS01,米国で現地生産へ、高級日本酒「獺祭」の製造工程高級日本酒のパイオニアである「獺祭（だっさい）」は、コストをかけた技術によるクリーンで華やかな味わいでファンに知られている。醸造元である旭酒造は日本と同じ醸造法の酒蔵をニューヨーク州に建設し生産を始める計画だ。ブルームバーグの森来実が山口県の同社で製造工程を取材した。動画リポート。 (Source: Bloomberg)
30,https://www.bloomberg.co.jp/news/videos/2022-08-02/RFYXL1T1UM0Y01,北朝鮮、暗号資産を狙い履歴書偽造の疑い北朝鮮の資金調達手段の一環として、同国のハッカーが米国の暗号資産（仮想通貨）企業への就職のための履歴書を偽造した疑いが持たれている。 (Source: Bloomberg)
31,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFXSE7T1UM0W01,「ワイルドライフ・ドローンズ」を創業した女性科学者「最初は裏庭の物置で弓のこやドリルを使ってアンテナを作りました」。ワイルドライフ・ドローンズは受賞歴のあるスタートアップ企業で、絶滅危惧種の追跡や外来種の制御を支援している。創業者のデビー・サンダース博士に話を聞いた。動画リポート。 (Source: Bloomberg)
32,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFXS7ST0AFB401,「ＮＥＯＭ」は未来都市か空想か５年前から開発が進められている「ＮＥＯＭ（ネオム）」は、サウジアラビアのムハンマド・ビン・サルマン皇太子発案のＳＦから着想を得た巨大プロジェクトだ。しかし6200億ドルの政府系ファンドを使える支配者にとってさえ厄介な課題を抱えている。動画リポート。 (Source: Bloomberg)
34,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFXS2XDWRGG201,インフレによる企業の損得ヘルマンのマヨネーズからベン＆ジェリーのアイスクリーム、ネスレのチョコレートまで、あらゆる商品がコスト上昇の圧迫を受けている。生活必需品に対するインフレの影響について、ブルームバーグのアレックス・ウェブ記者が動画で解説する。 (Source: Bloomberg)
35,https://www.bloomberg.co.jp/news/videos/2022-08-01/RFX273DWRGG001,ウィル・スミス氏、あの時の振る舞いは正しくなかった「あの時の振る舞いが正しかったと私はまったく思っていません」。俳優ウィル・スミスさんは、米アカデミー賞授賞式で平手打ちをした行為についてコメディアンのクリス・ロックさんに謝罪した。 (Source: Bloomberg)
36,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSI3YDWLU6801,スポーツ界の男女報酬格差女子スポーツは人気が高まる一方だが、多くの競技で報酬の不平等の問題は依然として解決できていない。格差是正の方法をブルームバーグのバネッサ・ペルドモ記者が探る。動画リポート。 (Source: Bloomberg)
37,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSI03T0G1KX01,「ロー対ウェイド」を覆す判決が女性の命を脅かす：アルレッド氏長年にわたり女性の権利を訴えてきた弁護士のグロリア・アルレッド氏が、「ロー対ウェイド判決」の前に自身が経験した悲惨な中絶手術について語った。そこから学んだのが、望まない妊娠の果てに命を危険にさらされる人がいてはならないということだった。聞き手はエマ・バーネット氏。インタビューは７月６日に収録した。動画リポート。 (Source: Bloomberg)
38,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSHYXDWRGG401,「金」で給与を受け取る選択給与を「金」（ゴールド）で受け取るのは適切とは思わない人もいれば、素晴らしい魅力があると感じる人もいるかもしれない。金を選択肢に取り入れた英タリーマネーのキャメロン・ペリー最高経営責任者（ＣＥＯ）にブルームバーグのリーアン・ゲラン記者がインタビューした。 (Source: Bloomberg)
39,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSHYSDWLU6801,シンガポールで高騰する車の価格シンガポールでは政府が渋滞と大気汚染を緩和するために車の販売を制限しており、車の価格が高騰している。この政策が市民に与える影響についてヌリン・ソフィア記者が動画でリポートする。 (Source: Bloomberg)
40,https://www.bloomberg.co.jp/news/videos/2022-07-29/RFSHYPT0AFB801,オフィス復帰の動きと家主の不安米国では従業員のオフィス復帰で強まる物件選別が、家主の不安材料になっている。デービッド・ルーベンスタイン氏による動画リポート。 (Source: Bloomberg)
